car_ID,symboling,CarName,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,price,brand,carsize,mpg
1,3,alfa-romero giulia,gas,std,two,sportcar,rwd,front,0,0,2,dohc,4,1,mpfi,2,0,0,1,1,2,alfa-romero,1,1
2,3,alfa-romero stelvio,gas,std,two,sportcar,rwd,front,0,0,2,dohc,4,1,mpfi,2,0,0,1,1,2,alfa-romero,1,1
3,1,alfa-romero Quadrifoglio,gas,std,two,hatchback,rwd,front,1,1,2,ohcv,5,1,mpfi,0,2,0,1,1,2,alfa-romero,1,1
4,2,audi 100 ls,gas,std,four,sedan,fwd,front,1,2,1,ohc,4,0,mpfi,1,2,0,0,2,2,audi,1,1
5,2,audi 100ls,gas,std,four,sedan,4wd,front,1,2,2,ohc,5,1,mpfi,1,2,0,1,2,2,audi,2,0
6,2,audi fox,gas,std,two,sedan,fwd,front,1,2,1,ohc,5,1,mpfi,1,2,0,1,2,2,audi,2,0
7,1,audi 100ls,gas,std,four,sedan,fwd,front,2,3,2,ohc,5,1,mpfi,1,2,0,1,2,2,audi,3,0
8,1,audi 5000,gas,std,four,wagon,fwd,front,2,3,2,ohc,5,1,mpfi,1,2,0,1,2,2,audi,3,0
9,1,audi 4000,gas,turbo,four,sedan,fwd,front,2,3,3,ohc,5,1,mpfi,1,2,0,1,2,3,audi,3,0
10,0,audi 5000s (diesel),gas,turbo,two,hatchback,4wd,front,1,1,3,ohc,5,1,mpfi,1,2,0,1,2,2,audi,2,0
11,2,bmw 320i,gas,std,two,sedan,rwd,front,2,2,1,ohc,4,0,mpfi,2,0,0,0,3,2,bmw,1,1
12,0,bmw 320i,gas,std,four,sedan,rwd,front,2,2,1,ohc,4,0,mpfi,2,0,0,0,3,2,bmw,1,1
13,0,bmw x1,gas,std,two,sedan,rwd,front,2,2,2,ohc,5,1,mpfi,1,1,0,1,0,3,bmw,1,1
14,0,bmw x3,gas,std,four,sedan,rwd,front,2,2,2,ohc,5,1,mpfi,1,1,0,1,0,3,bmw,1,1
15,1,bmw z4,gas,std,four,sedan,rwd,front,2,3,3,ohc,5,1,mpfi,1,1,0,1,0,3,bmw,2,1
16,0,bmw x4,gas,std,four,sedan,rwd,front,2,3,3,ohc,5,2,mpfi,2,2,0,2,2,4,bmw,2,0
17,0,bmw x5,gas,std,two,sedan,rwd,front,2,2,3,ohc,5,2,mpfi,2,2,0,2,2,4,bmw,2,0
18,0,bmw x3,gas,std,four,sedan,rwd,front,3,3,3,ohc,5,2,mpfi,2,2,0,2,2,4,bmw,3,0
19,2,chevrolet impala,gas,std,two,hatchback,fwd,front,0,2,0,l,3,0,2bbl,0,1,0,0,1,0,chevrolet,0,3
20,1,chevrolet monte carlo,gas,std,two,hatchback,fwd,front,1,1,0,ohc,4,0,2bbl,0,1,0,0,2,0,chevrolet,0,3
21,0,chevrolet vega 2300,gas,std,four,sedan,fwd,front,1,1,0,ohc,4,0,2bbl,0,1,0,0,2,0,chevrolet,0,3
22,1,dodge rampage,gas,std,two,hatchback,fwd,front,1,1,0,ohc,4,0,2bbl,0,1,0,0,2,0,dodge,0,3
23,1,dodge challenger se,gas,std,two,hatchback,fwd,front,1,1,0,ohc,4,0,2bbl,0,1,0,0,2,0,dodge,0,2
24,1,dodge d200,gas,turbo,two,hatchback,fwd,front,1,1,1,ohc,4,0,mpfi,0,2,0,0,2,0,dodge,0,1
25,1,dodge monaco (sw),gas,std,four,hatchback,fwd,front,1,1,0,ohc,4,0,2bbl,0,1,0,0,2,0,dodge,0,2
26,1,dodge colt hardtop,gas,std,four,sedan,fwd,front,1,1,0,ohc,4,0,2bbl,0,1,0,0,2,0,dodge,0,2
